address,bank_name,sell_course,buy_course,lat,lon
"г. Минск, пр-т Дзержинского, 19-1555",Белинвестбанк,2.885,2.915,53.886154,27.516098
"г. Минск, пр. Партизанский, 85-48",Белинвестбанк,2.885,2.915,53.874753,27.631998
"г. Минск, ул. Притыцкого, 156/1-1 (ТЦ ""Green City"")",Белинвестбанк,2.885,2.915,53.908304,27.433749
"г. Минск, пр. Победителей, 65 (ТРЦ ""Замок"")",Белинвестбанк,2.887,2.915,53.926266,27.517472
"г.Минск, Газеты ""Звязда"" пр., 47",БСБ Банк,2.89,2.915,53.861115,27.465505
"г.Минск, Логойский тракт, 15/4",БСБ Банк,2.895,2.915,53.944215,27.609808
"г.Минск, Логойский тракт, 15/4",БСБ Банк,2.895,2.915,53.944241,27.609914
"г. Минск, ул. В. Хоружей, 20-2",Нео Банк Азия,2.9,2.915,53.92192,27.567184
"г. Минск, ул. В. Хоружей, 20-2",Нео Банк Азия,2.9,2.915,53.92192,27.567184
"г. Минск, ул. В. Хоружей, 20-2",Нео Банк Азия,2.9,2.915,53.92192,27.567184
"г. Минск, ул. В. Хоружей, 20-2",Нео Банк Азия,2.9,2.915,53.92192,27.567184
"Минск и Минский р-н, г. Минск, пр. Дзержинского, 92",СтатусБанк,2.896,2.915,53.866229547177,27.486484735021
"г. Минск, ул. Кунцевщина, 2а",МТБанк,2.875,2.915,53.907604376745,27.436975907073
"г. Минск, ул. Притыцкого, 101",МТБанк,2.875,2.915,53.905567,27.433875
"г. Минск, ул. Шаранговича, 22 (работа временно приостановлена с 01.08.22)",МТБанк,2.88,2.915,53.88609,27.44779
"г. Минск, пр-т Независимости, 11/2 (Обменный пункт в Казино. Только для клиентов Казино)",МТБанк,2.88,2.915,53.8970508528,27.551077047955
"г. Минск, пр-т Рокоссовского, 80 (микрорайон «Серебрянка»)",МТБанк,2.88,2.915,53.863189,27.603813
"г. Минск, пр-т Партизанский 79 (ТЦ “Prizma”)",МТБанк,2.875,2.915,53.874579767577,27.630109229497
"г. Минск, пр-т Независимости, 202-3, салон KIA",МТБанк,2.88,2.915,53.9532089657,27.717830415672
"г. Минск, пр-т Партизанский, 150а (ТЦ МОМО)",МТБанк,2.88,2.915,53.859478223834,27.674203890213
"г. Минск, ул. Петра Мстиславца, 11 (ТРЦ ""DANA MALL"", 2 этаж, около магазина ZARA)",МТБанк,2.88,2.915,53.933608,27.652157
"г. Минск, ул. Свислочская, 9 (Обменный пункт в Автоцентре)",МТБанк,2.88,2.915,53.849881555131,27.647897887872
"г. Минск, ул. Притыцкого, 26",МТБанк,2.875,2.915,53.910956,27.49753
"г. Минск, ул. Аэродромная, 125 (Обменный пункт в Автоцентре)",МТБанк,2.88,2.915,53.873287369444,27.558518584656
"г. Минск, пр-т Дзержинского, 122",МТБанк,2.88,2.915,53.851429945036,27.474332076057
"Минский р-н, д. Боровая, 2 (Обменный пункт в Автоцентре)",МТБанк,2.88,2.915,53.962144,27.629151
"г. Минск, ул. Толстого, 10, БЦ «Titul»",МТБанк,2.88,2.915,53.888380274332,27.544253084656
"г. Минск, пр-т Дзержинского, 134 (Обменный пункт в Автоцентре)",МТБанк,2.88,2.915,53.843473501969,27.466130847885
"г. Минск, ул. Мележа, 1 (БЦ Парус)",МТБанк,2.875,2.915,53.939710883198,27.601466136851
"г. Минск, ул. Янки Лучины, 7",МТБанк,2.88,2.915,53.840003,27.57124
"г. Минск, пр-т Независимости 202/1 (в Автоцентре)",МТБанк,2.88,2.915,53.953281,27.717186
"г. Минск, пр-т Независимости, 202/2, Лексус",МТБанк,2.88,2.915,53.9532,27.7172
"г. Минск, ул. Каменногорская, 11 (Обменный пункт в Автоцентре)",МТБанк,2.88,2.915,53.918577,27.415657
"г. Минск, ул. Лещинского, 4 (автоцентр)",МТБанк,2.88,2.915,53.908384,27.454249
"г. Минск, ул. Бобруйская, 15",МТБанк,2.88,2.915,53.891598,27.552758
"г. Минск, ул. З. Бядули, 11",МТБанк,2.88,2.915,53.90379,27.585681
"г. Минск, ул. Кульман, 1/3-3 (только для клиентов казино)",МТБанк,2.875,2.915,53.916542,27.582861
г. Минск улица Шаранговича 22/1,МТБанк,2.88,2.915,53.886377,27.449021
"г. Минск, ул. Притыцкого, 79 (Обслуживание юридических лиц и ИП)",МТБанк,2.88,2.915,53.905907,27.456863
г. Минск улица Братская 16,МТБанк,2.88,2.915,53.868557,27.550297
"г. Минск, пр-т Победителей 3",МТБанк,2.88,2.915,53.906432,27.551024
"г. Минск, улица Киселёва 61А",Паритетбанк,2.895,2.915,53.915008,27.560412
"г. Минск, улица Гамарника 9к4",Паритетбанк,2.895,2.915,53.955501,27.611337
"г. Минск, Бобруйская 15",Паритетбанк,2.895,2.915,53.891473,27.553198
"г. Минск, Боровлянский сельсовет 74",Паритетбанк,2.895,2.915,53.964287,27.623771
"г. Минск, улица Притыцкого 97 - 463",Паритетбанк,2.895,2.915,53.90595,27.43655
