id,bank_org,address,coords,exchange_rates
7194366041277307299,МТБанк,"г. Минск, ул. Бобруйская, 6 (ТЦ ""Galileo"", 3-й этаж)","53.89020145635,27.554396457999","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
7449503738638515951,МТБанк,"г. Минск, ул. Мележа, 1 (БЦ Парус)","53.939710883198,27.601466136851","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.865""}]"
4318036956206926651,МТБанк,"г. Минск, ул. Янки Лучины, 7","53.840003,27.57124","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
5057711417814122765,МТБанк,"г. Минск, ул. Бобруйская, 15","53.891598,27.552758","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.865""}]"
336127603648316029,МТБанк,"г. Минск, ул. З. Бядули, 11","53.90379,27.585681","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-6820194552746118816,МТБанк,"г. Минск, пр-т Победителей, 65","53.926266,27.517472","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
5508136276586399954,МТБанк,"Минский район, пересечение Логойского тракта и МКАД (ТРЦ «EXPOBEL»)","53.964443,27.624021","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-7986602582384293207,МТБанк,"г. Минск, ул. Кальварийская, 24","53.908039,27.527327","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-2987312156140062030,МТБанк,"г. Минск, Минский район, Боровлянский сельсовет, 97 (ТЦ ""ОМА"")","53.967399,27.625198","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.865""}]"
4090139267660227636,МТБанк,"г. Минск, ул. Притыцкого, 79 (Обслуживание юридических лиц и ИП)","53.905907,27.456863","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.865""}]"
-715212398507697803,МТБанк,"г. Минск, ул. Казимировская, 6 (магазин Евроопт)","53.917538,27.429321","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-7564684122280198440,МТБанк,"г. Минск, ул. Уборевича, 176","53.835584,27.606082","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-1919840151842369618,МТБанк,"г. Минск, пр-т Партизанский, 182 (GREEN)","53.84894,27.699067","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-5952479187441760901,МТБанк,"г. Минск, ул. Леонида Левина, 8","53.866476,27.529689","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
675927512179772769,МТБанк,г. Минск улица Братская 16,"53.868557,27.550297","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-7935572627855091543,МТБанк,"г. Минск, пр-т Партизанский 79 (ТЦ Prizma)","53.876573,27.625863","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-636029487247087019,Технобанк,ул. Кропоткина 44,"53.9165649943,27.5572592454","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
4477926919749075666,Технобанк,"г. Минск, ул. Володарского, 4","53.8982465234,27.549922746","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
250811236591564197,Технобанк,"г. Минск, ул. Руссиянова, 8","53.9430013296,27.687411411","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
5759766536453390071,Технобанк,"г. Минск, пр.Независимости, 117а, (вход со стороны ул.Филимонова)","53.9318911887,27.637019584","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
-484931135406610141,Технобанк,"г. Минск, ул. Маяковского,6","53.884753825866,27.565779364918","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
-8205261177630893790,Технобанк,"г. Минск, ул. Мельникайте, 8","53.9082470096,27.5441675595","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
-8861082898634112140,Технобанк,"г. Минск, пр. Победителей, 65-1, ТРЦ «Замок»","53.9267705851,27.5178023314","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
6323225268845854424,Технобанк,"г. Минск, ул. Притыцкого, 156, ТРЦ «Green City»","53.9088802219,27.4326187252","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
-3507635721648480469,Технобанк,"Минский район, Боровлянский с/с, 74/1, район д. Боровая (ТЦ «Экспобел»)","53.964046245997,27.624229877598","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
-5267265563548403710,Технобанк,"г.Минск, пр. Партизанский, 150а (ТЦ «МОМО», 1 этаж)","53.859912328229,27.673900455243","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
200158760162572930,Технобанк,ул.Кропоткина 44,"53.9165649943,27.5572592454","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
4335525182340871805,Альфа Банк,"г. Минск, Логойский тракт, 10","53.941869962673,27.608721415344","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
-1395306311829912911,Альфа Банк,"г. Минск, пр-т. Победителей, 5,рядом с ТЦ ""Галерея""","53.907247983682,27.550936391822","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
-854864516040578878,Альфа Банк,"г. Минск, пр. Независимости, 93","53.924238099085,27.612239787033","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
1241350949157539272,Альфа Банк,"г. Минск, ул. Красная, 7","53.912553333894,27.571371110625","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
-3552774496341820487,Альфа Банк,"г. Минск, пр. Независимости, 168/2,рядом с метро ""Уручье""","53.945257125987,27.690156695106","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
-5988402306732923932,Альфа Банк,"г. Минск, пр. Рокоссовского, 80","53.863703458872,27.604081904041","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
8703730490130031553,Альфа Банк,"г. Минск, ул. Притыцкого, 39,рядом с метро ""Спортивная""","53.907799283027,27.476225609123","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
-1020408471861930064,Альфа Банк,"г. Минск, ул. Сурганова, 43","53.926804745999,27.589607805557","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
-5651341293227347876,Альфа Банк,"г. Минск, пр. Дзержинского,119","53.850418666218,27.47627608471","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
-7957790153796294060,Альфа Банк,"г. Минск, пр. Дзержинского, 1Е","53.892232895921,27.529246703705","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.912""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.85""}]"
